"";"X";"time";"data";"sequence";"word";"V1";"nasal";"V2";"speaker";"session";"token"
"1";1;0;1,4394190647482;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"2";2;0,0101010101010101;1,3733232913669;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"3";3;0,0202020202020202;1,48058983267931;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"4";4;0,0303030303030303;1,61789990734685;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"5";5;0,0404040404040404;1,5029184833951;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"6";6;0,0505050505050505;1,09284279848848;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"7";7;0,0606060606060606;0,862138134946587;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"8";8;0,0707070707070707;0,933574980924351;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"9";9;0,0808080808080808;1,22325398771891;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"10";10;0,0909090909090909;1,38801124100719;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"11";11;0,101010101010101;1,09618096886127;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"12";12;0,111111111111111;0,625869854116705;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"13";13;0,121212121212121;0,5098498882712;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"14";14;0,131313131313131;0,785063490116996;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"15";15;0,141414141414141;1,16027384001889;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"16";16;0,151515151515152;1,20775004087639;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"17";17;0,161616161616162;0,813252484376134;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"18";18;0,171717171717172;0,381144875009084;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"19";19;0,181818181818182;0,413265492151732;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"20";20;0,191919191919192;0,782244590691083;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"21";21;0,202020202020202;1,11413290731051;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"22";22;0,212121212121212;1,04662768421626;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"23";23;0,222222222222222;0,593229966027177;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"24";24;0,232323232323232;0,254739490226;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"25";25;0,242424242424242;0,38700521855243;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"26";26;0,252525252525253;0,779574054392849;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"27";27;0,262626262626263;1,04959494676986;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"28";28;0,272727272727273;0,913323413996074;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"29";29;0,282828282828283;0,466602036552573;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"30";30;0,292929292929293;0,212975269784172;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"31";31;0,303030303030303;0,397687363745367;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"32";32;0,313131313131313;0,763699199731123;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"33";33;0,323232323232323;0,951526919373592;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"34";34;0,333333333333333;0,77356534772182;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"35";35;0,343434343434343;0,348801713174913;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"36";36;0,353535353535354;0,146879496402876;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"37";37;0,363636363636364;0,341828646173968;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"38";38;0,373737373737374;0,658138834387035;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"39";39;0,383838383838384;0,799232168810405;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"40";40;0,393939393939394;0,611330267604097;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
"41";41;0,404040404040404;0,209043646900659;"U->n->6";"kunak";"ʊ";"n";"ɐ";"S1";1;"N02"
